Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Eye shadow effect (product.metafields.shopify.eye-shadow-effect),Eyebrow enhancer color (product.metafields.shopify.eyebrow-enhancer-color),Face powder color (product.metafields.shopify.face-powder-color),Face powder type (product.metafields.shopify.face-powder-type),Flavor (product.metafields.shopify.flavor),Fragrance level (product.metafields.shopify.fragrance-level),Hair care finish (product.metafields.shopify.hair-care-finish),Heat settings (product.metafields.shopify.heat-settings),Lip gloss effect (product.metafields.shopify.lip-gloss-effect),Lip liner design (product.metafields.shopify.lip-liner-design),Lipstick effect (product.metafields.shopify.lipstick-effect),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Mascara effect (product.metafields.shopify.mascara-effect),Moisturizer type (product.metafields.shopify.moisturizer-type),Occasion (product.metafields.shopify.occasion),Package type (product.metafields.shopify.package-type),Plate type (product.metafields.shopify.plate-type),Product benefits (product.metafields.shopify.product-benefits),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin tone (product.metafields.shopify.skin-tone),Skin undertone (product.metafields.shopify.skin-undertone),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
nude-matte-revolution-lipstick,Nude Matte Lipstick,"<p>The Nude Matte Lipstick in offers a muted nude-rose shade that suits all skin tones. Its moisturizing matte formula, with Lipstick Tree Extract, provides up to 10 hours of wear and a smooth finish. The contoured tip helps apply the color easily and precisely. Inspired by 90s supermodel style, this lipstick delivers a natural, elegant look perfect for any occasion.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lipsticks,Makeup,"",true,Color,super-model-01,product.metafields.shopify.color-pattern,,,,,,,,3.5,shopify,deny,manual,31.00,35.00,true,true,,,,,'5056446642866,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800x800px_1.png?v=1760893295,1,"",false,,,,,super-model-01,,matte,,,,,,,,,,,,,hydrating; moisturizing; softening,,moisturizing; long-lasting; easy-to-apply,,,,,,,,,,,,,,,,,,smooth; creamy,,g,,19.00,active
blush,Blush,"<div class=""ProductSummary"" id=""b46bc3ad-9907-43a6-9a95-88c160f02d7f"" role=""complementary"">
<div class="""">
<div class=""ProductSummary__summary"">
<p class=""pal-c-Text pal-c-Text__style--body-lg pal-c-Text__align--left""> </p>
</div>
</div>
</div>
<p>NARS Blush offers long-lasting color for up to 16 hours with a lightweight, comfortable feel. Its smooth, blendable formula enhances your skin while softening imperfections. Made with a special pigment blend, this blush delivers true, vibrant color and a flawless finish. Select shades come in refillable compacts for a more sustainable option.</p>
<div id=""bb5f7945-7101-402b-b8b3-1ad025315d50"" class=""ProductDetail"">
<div class=""ProductDetail__Wrapper"">
<div class=""ProductDetail__Content"">
<div class=""pal-c-Accordion pal-c-Accordion__default pal-c-Accordion--is-active"">
<section class=""pal-c-Accordion__body"" aria-labelledby="""" id="""">
<div class=""pal-c-Accordion__body--inner"">
<div class=""Markdown Markdown--body-2 Markdown--left"" data-test=""markdown"">
<p> </p>
</div>
</div>
</section>
</div>
</div>
</div>
</div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Blushes & Bronzers,Makeup,"",true,Title,Default Title,,,,,,,,,4.81941893125,shopify,deny,manual,31.99,36.00,true,true,,,,,'194251140544,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800x800px_10.png?v=1760323283,1,"",false,,,,,orgasm-blush,,luminous; radiant; natural,,case; pan,,,,,,,,,,,,,long-lasting; buildable-coverage; easy-to-apply; high-pigmentation,,,,,,radiant; natural; coloring,,highlighter,,,,,,,,all-skin-types,,,,oz,,13.00,active
luxury-eyeshadow-palette,Luxury Eyeshadow Palette,"<p>Charlotte Tilbury’s Luxury Eyeshadow Palette features four shades—Prime, Enhance, Smoke, and Pop—in a smooth, long-lasting formula. Easily create looks that transition from day to night with warm bronzes, golds, reds, and purples.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > Eye Shadows,Makeup,"",true,Title,Default Title,,,,,,,,,5.95339985625,shopify,deny,manual,0.00,,true,true,,,,,'5056446604765,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800x800px_9.png?v=1760322123,1,"",false,,,,,,,metallic; smooth; shimmer,,,metallic; smoothing,,,,,,,,,,,,long-lasting; easy-to-apply; high-pigmentation,,,,,,,,highlighter,,,,,,,,,,,,oz,,,active
fenty-beauty-gloss-bomb-universal-lip-luminizer-copy-copy,Luminizer + Plumper Lip Gloss,"<p data-end=""383"" data-start=""71"">Turn up the temperature. Brings the shine <em data-end=""134"" data-start=""129"">and</em> the sting with a lip-loving plump that delivers instant volume and sultry sheen. The innovative plump job complex combines ginger root oil and capsicum fruit extract to gently warm your lips, making them look fuller and smoother with every swipe.</p>
<p data-end=""567"" data-start=""385"">The finish? A wet-look shine that catches light from every angle—never sticky, always seductive. Wear it solo for a glassy tint or layer it over lipstick for that just-bitten glow.</p>
<p data-is-only-node="""" data-is-last-node="""" data-end=""605"" data-start=""569""><em data-is-last-node="""" data-end=""605"" data-start=""569"">Hot gloss. High shine. </em></p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Gloss,Makeup,"ds, heat",true,Handle Color,Fussy Heat,,,,,,,,200007787:350853#Fussy Heat,44.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,21.99,4.58,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800x800px_4.png?v=1760319134,1,"",false,,,,,hot-cherry; fussy-heat,,shimmer; metallic; glossy; luminous,,,,,,,,,,,hydrating; plumping; coloring; smoothing,,,,hydrating; easy-to-apply; high-pigmentation,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_3_4f871f6a-3771-43bc-acba-f2c0c4ba8fff.png?v=1760319187,kg,,4.58,active
fenty-beauty-gloss-bomb-universal-lip-luminizer-copy-copy,,,,,,,,,Hot Cherry,,,,,,,,200007787:691#Hot Cherry,44.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,21.99,26.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_3_4f871f6a-3771-43bc-acba-f2c0c4ba8fff.png?v=1760319187,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800x800px_4.png?v=1760319134,kg,,4.60,
fenty-beauty-gloss-bomb-universal-lip-luminizer-copy-1,Lip Cream,"<p data-start=""59"" data-end=""353"">Creamy, dreamy, and dripping in color. Delivers full-intensity pigment with the same shine and cushiony comfort you love from the original Gloss Bomb. Each swipe lays down rich color that melts onto your lips—no shimmer, no stickiness, just smooth, creamy perfection.</p>
<p data-start=""355"" data-end=""554"">Packed with shea butter and vitamin A to nourish while you wear it, this gloss gives you a juicy finish that feels as luxe as it looks. From soft neutrals to bold brights, it’s pure drip in a tube.</p>
<p data-start=""556"" data-end=""605"" data-is-last-node="""" data-is-only-node=""""><em data-start=""556"" data-end=""605"" data-is-last-node="""">Vibrant color. Plush feel. 100% attitude.</em></p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Gloss,Makeup,"cream, ds",true,Handle Color,Fenty Glow 02,,,,,,,,200007787:496#FENTY GLOW 02,44.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,21.99,26.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_8.png?v=1760320181,1,"",false,,,,,honey-waffles; fenty-glow-02-1,,shimmer; metallic; glossy; luminous; smooth,,,,,,,,,,,hydrating; plumping; coloring; moisturizing; softening,,,,hydrating; easy-to-apply; long-lasting; high-pigmentation; moisturizing; nourishing,,,,,,,cruelty-free,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_8.png?v=1760320181,kg,,4.58,active
fenty-beauty-gloss-bomb-universal-lip-luminizer-copy-1,,,,,,,,,Honey Waffles,,,,,,,,200007787:1052#Honey Waffles,44.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,21.99,26.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_5_e9ca0f05-e90a-4203-97b7-0a1199a35e02.png?v=1760320415,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_5_e9ca0f05-e90a-4203-97b7-0a1199a35e02.png?v=1760320415,kg,,4.58,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,12-Piece All-Purpose Makeup Sponge Set,"<p>12-Piece All-Purpose Makeup Sponge Set, Made of 3 Loose Powder Puffs, 3 Mini Air Cushion Puffs, 3 Beauty Eggs and 3 Mini Beauty</p>",The Beauty Vault,Health & Beauty,"","",true,Color,Dark Brown,,,,,,,,14:6146,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sde097a2d49d047deacdf999180298f5eX.webp?v=1760215720,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Scea2bc243cae4cfea2c704f98fa6a945e.webp?v=1760215720,kg,,2.08,active
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,05,,,,,,,,14:10#05,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sd16c443c4c8d4be284423a02e1913c66r.webp?v=1760215720,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sf71fd7cb19f445b3be7837aa904fbe8bZ.webp?v=1760215721,kg,,2.11,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,08,,,,,,,,14:350686#08,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sbcf630676e484bfeaf612e89461ad6a9l.webp?v=1760215721,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sdbecce52f12544c8a4153a7a0a2a0444C.webp?v=1760215721,kg,,2.11,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,06,,,,,,,,14:350853#06,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S99eb4b757b9d44dfb87d7a5120fc5f63w.webp?v=1760215721,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S16c9d146e7ec420f8bceac20324b204eZ.webp?v=1760215721,kg,,2.13,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,grey,,,,,,,,14:94,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sf5c9744871474841941d643a5cad4dcbS.webp?v=1760215720,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sa567c769f6ef4e5588f92a906ac75f85k.webp?v=1760215720,kg,,2.42,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,Rose Red,,,,,,,,14:200211869,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S0c759b54a7c44d3d9c1e427ab6d6a39be.webp?v=1760215720,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S145ce80101304d0b960476876f849a54K.webp?v=1760215720,kg,,2.17,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,Coffee,,,,,,,,14:200005100,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S08a3329ff4e94259831e1de8e9004464y.webp?v=1760215721,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S9c25d48cab4d49e2ac4f3a0b40c19f487.webp?v=1760215720,kg,,2.07,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,green,,,,,,,,14:175,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S8caf5754034d4f33b15e50beeb14f330G.webp?v=1760215720,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S2251337cd27b41be853bb0f8bcfbb8f2t.webp?v=1760215721,kg,,2.58,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,MULTICOLOR,,,,,,,,14:2198,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sfdc329e411c94eeca5e7da718edd91baI.webp?v=1760215720,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Se06edf0bfa9e4471b6481ec54cbdcdca2.webp?v=1760215720,kg,,2.06,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,03,,,,,,,,14:173#03,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S22d0f669e7d84919a7c42fc48d6084358.webp?v=1760215720,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S31b11a42e57549afbc11e71723209f3bA.webp?v=1760215721,kg,,2.09,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,02,,,,,,,,14:366#02,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sc3bf0725fff5452e81507b6b136983car.webp?v=1760215720,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sbc265a5e67db43629f2fc870c8319c0cv.webp?v=1760215721,kg,,2.13,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,Dark Kkhaki,,,,,,,,14:200844361,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sb520db064dba4c1aa1c06894b4f376a3K.webp?v=1760215720,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sb87808ee660b441ba72b2a7f764688d2T.webp?v=1760215720,kg,,2.08,
